,SEASON_ID,LEAGUE_ID,TEAM_ABBREVIATION,TEAM_ID,PLAYER_FULLNAME,PLAYER_COUNT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
11,2003,0,LAL,1610612747,"KOBE BRYANT, MAURICE CARTER, BRIAN COOK, DEREK FISHER, RICK FOX, DEVEAN GEORGE, HORACE GRANT, KARL MALONE, SLAVA MEDVEDENKO, SHAQUILLE O'NEAL, JANNERO PARGO, GARY PAYTON, KAREEM RUSH, BRYON RUSSELL, JAMAL SAMPSON, IME UDOKA, LUKE WALTON",17,19859.0,3028,6676,7.265,365,1115,3.444,1631,2352,11.402,1001,2535,3536,1948,682,379,1096,1732,8052,340.8,49.6,109.9,7.265,5.6,16.9,3.444,29.2,41.6,11.402,18.3,45.5,63.5,32.3,11.4,6.7,20.7,31.3,133.7
12,2003,0,MEM,1610612763,"SHANE BATTIER, TROY BELL, PAU GASOL, RYAN HUMPHREY, DAHNTAY JONES, MIKE MILLER, BO OUTLAW, WESLEY PERSON, JAMES POSEY, THERON SMITH, STROMILE SWIFT, JAKE TSAKALIDIS, EARL WATSON, JASON WILLIAMS, LORENZEN WRIGHT",15,18413.0,2668,5982,5.979,426,1253,3.205,1440,1987,10.017,990,2239,3229,1811,724,549,1051,1744,7202,287.6,40.4,94.9,5.979,6.6,20.7,3.205,20.5,28.4,10.017,15.6,33.9,49.6,27.5,11.0,8.0,17.8,28.6,107.3
13,2003,0,MIA,1610612748,"MALIK ALLEN, RAFER ALSTON, JEROME BEASLEY, CARON BUTLER, RASUAL BUTLER, BIMBO COLES, BRIAN GRANT, UDONIS HASLEM, TYRONE HILL, EDDIE JONES, LAMAR ODOM, KIRK PENNEY, DWYANE WADE, SAMAKI WALKER, JOHN WALLACE, LOREN WOODS",16,19652.0,2712,6372,6.601,481,1343,2.76,1454,1909,10.367,936,2449,3385,1563,587,309,1070,1799,7359,316.1,42.0,100.6,6.601,7.1000000000000005,19.7,2.76,22.2,29.0,10.367,15.799999999999999,38.1,53.9,22.8,9.0,5.2,18.1,30.5,113.3
14,2003,0,MIL,1610612749,"T.J. FORD, DAN GADZURIC, MARCUS HAISLIP, DAMON JONES, TONI KUKOC, DESMOND MASON, JOEL PRZYBILLA, MICHAEL REDD, DANIEL SANTIAGO, BRIAN SKINNER, JOE SMITH, ERICK STRICKLAND, TIM THOMAS",13,18577.0,2784,6247,5.385,366,1068,2.971,1582,2063,9.386,906,2349,3255,1737,509,368,991,1546,7516,288.2,41.9,93.9,5.385,5.4,15.7,2.971,23.200000000000003,30.8,9.386,13.7,37.4,51.5,26.8,8.0,5.7,15.9,25.3,112.4
15,2003,0,MIN,1610612750,"SAM CASSELL, NDUDI EBI, KEVIN GARNETT, ANTHONY GOLDWIRE, TRENTON HASSELL, FRED HOIBERG, TROY HUDSON, ERVIN JOHNSON, QUINCY LEWIS, MARK MADSEN, DARRICK MARTIN, KEITH MCLEOD, OLIVER MILLER, MICHAEL OLOWOKANDI, LATRELL SPREWELL, WALLY SZCZERBIAK, GARY TRENT",17,19752.0,3033,6571,7.382,326,897,3.637,1361,1743,11.863,875,2645,3520,1890,561,462,1004,1731,7753,323.59999999999997,47.3,105.3,7.382,5.9,16.8,3.637,20.7,26.6,11.863,13.8,40.5,54.1,30.8,8.9,7.3,16.7,30.0,120.9
16,2003,0,NJN,1610612751,"BRANDON ARMSTRONG, DAMONE BROWN, JASON COLLINS, LUCIOUS HARRIS, RICHARD JEFFERSON, JASON KIDD, KERRY KITTLES, KENYON MARTIN, MIKKI MOORE, ALONZO MOURNING, DOUG OVERTON, ROBERT PACK, ZORAN PLANINIC, RODNEY ROGERS, BRIAN SCALABRINE, TAMAR SLAY, AARON WILLIAMS",17,19634.0,2810,6355,6.6530000000000005,377,1121,3.577,1396,1854,11.765,860,2466,3326,2005,705,322,1154,1714,7393,310.0,43.8,102.5,6.6530000000000005,5.3999999999999995,16.2,3.577,22.400000000000002,29.6,11.765,14.3,37.9,52.1,30.7,11.5,4.8,18.2,29.200000000000003,115.1
17,2003,0,NOH,1610612740,"DARRELL ARMSTRONG, STACEY AUGMON, P.J. BROWN, TIERRE BROWN, BARON DAVIS, BRYCE DREW, GEORGE LYNCH, JAMAAL MAGLOIRE, JAMAL MASHBURN, SEAN ROOKS, STEVEN SMITH, ROBERT TRAYLOR, DAVID WESLEY, DAVID WEST",14,19525.0,2738,6503,5.798,523,1632,2.64,1438,1916,10.644,1089,2395,3484,1662,694,345,1131,1688,7437,309.8,45.4,109.3,5.798,8.3,26.299999999999997,2.64,23.1,31.0,10.644,15.4,37.0,52.1,26.5,10.6,4.7,19.8,25.8,122.0
18,2003,0,NYK,1610612752,"SHANDON ANDERSON, MICHAEL DOLEAC, HOWARD EISLEY, OTHELLA HARRINGTON, ALLAN HOUSTON, DERMARR JOHNSON, ANTONIO MCDYESS, DIKEMBE MUTOMBO, MICHAEL SWEETNEY, KURT THOMAS, KEITH VAN HORN, CHARLIE WARD, CLAR. WEATHERSPOON, FRANK WILLIAMS",14,14636.0,2047,4598,6.187,301,814,2.503,918,1143,11.275,722,2009,2731,1042,408,333,893,1466,5313,301.2,41.9,94.8,6.187,6.8999999999999995,18.3,2.503,19.2,24.1,11.275,14.5,41.3,55.9,23.400000000000002,9.0,6.2,18.8,30.2,110.1
19,2003,0,ORL,1610612753,"KEITH BOGANS, ANDREW DECLERCQ, DERRICK DIAL, REECE GAINES, PAT GARRITY, GORDAN GIRICEK, DREW GOODEN, DONNELL HARVEY, JUWAN HOWARD, STEVEN HUNTER, BRITTON JOHNSEN, TYRONN LUE, TRACY MCGRADY, ZAZA PACHULIA, DESMOND PENIGAR, ROD STRICKLAND, SHAMMOND WILLIAMS",17,18528.0,2757,6397,6.968,417,1206,2.947,1397,1896,11.397,945,2226,3171,1496,516,302,1016,1640,7328,331.4,45.6,107.4,6.968,7.0,20.7,2.947,22.8,31.3,11.397,16.1,37.7,53.9,25.5,9.6,5.2,17.3,29.7,120.6
20,2003,0,PHI,1610612755,"GREG BUCKNER, DERRICK COLEMAN, SAMUEL DALEMBERT, WILLIE GREEN, ZENDON HAMILTON, ALLEN IVERSON, MARC JACKSON, KYLE KORVER, AMAL MCCASKILL, AARON MCKIE, GLENN ROBINSON, JOHN SALMONS, ERIC SNOW, KENNY THOMAS",14,19859.0,2682,6260,6.001,339,992,2.91,1512,2009,10.506,941,2408,3349,1640,654,358,1207,1701,7215,335.3,46.9,110.8,6.001,5.5,16.9,2.91,27.5,36.4,10.506,16.0,40.8,56.6,26.3,10.9,5.5,21.0,28.4,127.4
21,2003,0,PHX,1610612756,"ROBERT ARCHIBALD, LEANDRO BARBOSA, ZARKO CABARKAPA, TOM GUGLIOTTA, ANFERNEE HARDAWAY, CASEY JACOBSEN, JOE JOHNSON, BREVIN KNIGHT, MACIEJ LAMPE, STEPHON MARBURY, SHAWN MARION, AMAR'E STOUDEMIRE, CEZARY TRYBANSKI, JAKE VOSKUHL, SCOTT WILLIAMS",15,17195.0,2659,5995,5.662,391,1124,3.559,1234,1611,9.667,756,2020,2776,1433,644,302,1037,1478,6943,318.6,48.5,110.3,5.662,6.0,17.6,3.559,23.0,30.7,9.667,13.5,38.2,51.7,28.9,12.3,5.6,20.9,28.9,126.3
22,2003,0,POR,1610612757,"DEREK ANDERSON, RUBEN BOUMTJE-BOUMTJE, MATT CARROLL, OMAR COOK, DALE DAVIS, KANIEL DICKENS, DESMOND FERGUSON, EDDIE GILL, JEFF MCINNIS, TRACY MURRAY, TRAVIS OUTLAW, RUBEN PATTERSON, ZACH RANDOLPH, VLADIMIR STEPANIA, DAMON STOUDAMIRE, SLAVKO VRANES, RASHEED WALLACE, BONZI WELLS, QYNTEL WOODS",19,16271.0,2367,5388,7.758,332,985,3.65,1029,1409,11.004,823,1940,2763,1561,504,244,942,1240,6095,319.2,45.5,106.7,7.758,6.3,19.2,3.65,19.1,26.6,11.004,15.200000000000001,34.6,49.7,29.4,10.1,4.4,18.3,26.0,116.5
23,2003,0,SAC,1610612758,"MIKE BIBBY, RODNEY BUFORD, DOUG CHRISTIE, VLADE DIVAC, BOBBY JACKSON, TONY MASSENBURG, BRAD MILLER, ANTHONY PEELER, JABARI SMITH, DARIUS SONGAILA, PEJA STOJAKOVIC, GERALD WALLACE, CHRIS WEBBER",13,19784.0,3103,6711,5.708,601,1498,2.692,1626,2044,9.381,888,2492,3380,2152,710,325,1107,1586,8433,301.6,48.8,107.5,5.708,8.1,20.6,2.692,24.4,31.4,9.381,14.5,39.3,53.9,32.0,10.7,5.4,16.9,25.3,129.8
24,2003,0,SAS,1610612759,"BRUCE BOWEN, DEVIN BROWN, ANTHONY CARTER, TIM DUNCAN, ALEX GARCIA, MANU GINOBILI, JASON HART, SHANE HEAL, ROBERT HORRY, RON MERCER, RASHO NESTEROVIC, TONY PARKER, MALIK ROSE, HEDO TURKOGLU, KEVIN WILLIS",15,19306.0,2795,6299,6.0009999999999994,383,1072,3.016,1403,2059,9.58,1026,2621,3647,1630,643,534,1124,1629,7376,301.3,43.2,102.7,6.0009999999999994,5.5,17.2,3.016,20.8,30.599999999999998,9.58,14.8,38.7,53.5,25.4,10.8,7.3,19.5,24.8,112.6
25,2003,0,SEA,1610612760,"RAY ALLEN, BRENT BARRY, CALVIN BOOTH, ANTONIO DANIELS, REGGIE EVANS, RICHIE FRAHM, JEROME JAMES, RASHARD LEWIS, FLIP MURRAY, VITALY POTAPENKO, VLADIMIR RADMANOVIC, LUKE RIDNOUR, ANSU SESAY, LEON SMITH",14,19810.0,2939,6590,6.38,723,1936,3.24,1363,1782,9.863,907,2318,3225,1782,661,387,1128,1784,7964,291.8,43.7,97.5,6.38,10.6,28.5,3.24,19.900000000000002,25.8,9.863,14.1,34.4,48.3,26.5,9.4,5.5,16.7,26.9,118.3
26,2003,0,TOR,1610612761,"MENGKE BATEER, CHRIS BOSH, MICHAEL BRADLEY, RICK BRUNSON, VINCE CARTER, MICHAEL CURRY, ANTONIO DAVIS, CHRIS JEFFERIES, JEROME MOISO, LAMOND MURRAY, MILT PALACIO, MORRIS PETERSON, ALVIN WILLIAMS, JEROME WILLIAMS",14,13593.0,1754,4242,6.03,279,792,2.44,880,1164,8.843,521,1479,2000,1066,415,241,725,1170,4667,278.2,33.5,80.1,6.03,4.6,13.2,2.44,16.8,22.4,8.843,13.2,35.8,48.7,19.2,8.2,4.2,15.1,24.2,88.0
27,2003,0,UTA,1610612762,"CARLOS ARROYO, RAJA BELL, CURTIS BORCHARDT, KEON CLARK, JARRON COLLINS, PAUL GRANT, BEN HANDLOGTEN, MATT HARPRING, ANDREI KIRILENKO, RAUL LOPEZ, GREG OSTERTAG, SASHA PAVLOVIC, MICHAEL RUFFIN, DESHAWN STEVENSON, MO WILLIAMS",15,18270.0,2474,5677,6.4510000000000005,237,744,2.332,1527,2064,9.698,1011,2089,3100,1568,544,468,1174,1939,6712,318.9,42.1,96.7,6.4510000000000005,3.3,10.6,2.332,24.2,33.8,9.698,18.599999999999998,39.6,58.2,24.6,8.9,7.3999999999999995,19.5,34.0,111.8
28,2003,0,WAS,1610612764,"GILBERT ARENAS, STEVE BLAKE, KWAME BROWN, MITCHELL BUTLER, JUAN DIXON, JARVIS HAYES, BRENDAN HAYWOOD, LARRY HUGHES, JARED JEFFRIES, CHRISTIAN LAETTNER, JERRY STACKHOUSE, ETAN THOMAS, JAHIDI WHITE, CHRIS WHITNEY",14,19077.0,2681,6381,5.51,432,1263,3.808,1551,2172,9.711,1090,2320,3410,1429,679,401,1321,1631,7345,316.3,44.5,107.2,5.51,7.9,22.4,3.808,25.400000000000002,34.8,9.711,15.9,36.9,52.699999999999996,25.3,11.5,6.800000000000001,23.3,25.7,121.8
