,PLAYER_ID,PLAYER_FULLNAME,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,TS%,eFG%,PER,WS
0,1505,TARIQ ABDUL-WAHAD,1999,0,1610612753,ORL,25.0,46,46,1205.0,223,515,0.433,2,21,0.095,115,151,0.762,77,162,239,72,53,16,87,116,563,26.2,4.8,11.2,0.433,0.0,0.5,0.095,2.5,3.3,0.762,1.7,3.5,5.2,1.6,1.2,0.3,1.9,2.5,12.2,0.48414281783159047,0.4349514563106796,0.6531120331950208,0.004774375995148429
1,949,SHAREEF ABDUR-RAHIM,1999,0,1610612763,VAN,23.0,82,82,3223.0,594,1277,0.465,29,96,0.302,446,551,0.809,218,607,825,271,89,87,249,244,1663,39.3,7.2,15.6,0.465,0.4,1.2,0.302,5.4,6.7,0.809,2.7,7.4,10.1,3.3,1.1,1.1,3.0,3.0,20.3,0.5472410888221977,0.4765074393108849,0.7787775364567173,0.035049283885683534
2,724,CORY ALEXANDER,1999,0,1610612743,DEN,27.0,29,2,329.0,28,98,0.286,9,35,0.257,17,22,0.773,8,34,42,58,24,2,28,39,82,11.3,1.0,3.4,0.286,0.3,1.2,0.257,0.6,0.8,0.773,0.3,1.2,1.4,2.0,0.8,0.1,1.0,1.3,2.8,0.38075780089153044,0.33163265306122447,0.46808510638297873,0.00019058144223626106
3,951,RAY ALLEN,1999,0,1610612749,MIL,24.0,82,82,3070.0,642,1411,0.455,172,407,0.423,353,398,0.887,83,276,359,308,110,19,183,187,1809,37.4,7.8,17.2,0.455,2.1,5.0,0.423,4.3,4.9,0.887,1.0,3.4,4.4,3.8,1.3,0.2,2.2,2.3,22.1,0.570259501172673,0.515946137491141,0.7469055374592833,0.0339291615279257
4,1747,RAFER ALSTON,1999,0,1610612749,MIL,23.0,27,0,361.0,27,95,0.284,3,14,0.214,3,4,0.75,5,18,23,70,12,0,29,29,60,13.4,1.0,3.5,0.284,0.1,0.5,0.214,0.1,0.1,0.75,0.2,0.7,0.9,2.6,0.4,0.0,1.1,1.1,2.2,0.3100454733360893,0.3,0.34349030470914127,0.00013232888015493843
5,680,JOHN AMAECHI,1999,0,1610612753,ORL,29.0,80,53,1684.0,306,700,0.437,1,6,0.167,223,291,0.766,62,204,266,95,35,37,139,161,836,21.1,3.8,8.8,0.437,0.0,0.1,0.167,2.8,3.6,0.766,0.8,2.6,3.3,1.2,0.4,0.5,1.7,2.0,10.5,0.5048065310854548,0.43785714285714283,0.6282660332541568,0.009907624552808887
6,1507,DEREK ANDERSON,1999,0,1610612746,LAC,25.0,64,58,2201.0,377,860,0.438,55,178,0.309,271,309,0.877,80,178,258,220,90,11,167,149,1080,34.4,5.9,13.4,0.438,0.9,2.8,0.309,4.2,4.8,0.877,1.3,2.8,4.0,3.4,1.4,0.2,2.6,2.3,16.9,0.5421904494156392,0.4703488372093023,0.6319854611540209,0.016586109520528598
7,72,KENNY ANDERSON,1999,0,1610612738,BOS,29.0,82,82,2593.0,434,986,0.44,85,220,0.386,196,253,0.775,55,170,225,420,139,8,130,230,1149,31.6,5.3,12.0,0.44,1.0,2.7,0.386,2.4,3.1,0.775,0.7,2.1,2.7,5.1,1.7,0.1,1.6,2.8,14.0,0.5235482812670871,0.4832657200811359,0.6417277284998072,0.018537495322627634
8,98,NICK ANDERSON,1999,0,1610612758,SAC,32.0,72,72,2094.0,306,782,0.391,132,397,0.332,37,76,0.487,83,256,339,123,94,16,95,118,781,29.1,4.3,10.9,0.391,1.8,5.5,0.332,0.5,1.1,0.487,1.2,3.6,4.7,1.7,1.3,0.2,1.3,1.6,10.8,0.4788825664671833,0.47570332480818417,0.5482330468003821,0.00959402976511401
9,1000,SHANDON ANDERSON,1999,0,1610612745,HOU,26.0,82,82,2700.0,368,778,0.473,79,225,0.351,194,253,0.767,91,293,384,239,96,32,194,182,1009,32.9,4.5,9.5,0.473,1.0,2.7,0.351,2.4,3.1,0.767,1.1,3.6,4.7,2.9,1.2,0.4,2.4,2.2,12.3,0.5672873656276706,0.5237789203084833,0.5325925925925926,0.01684437878910415
