,PLAYER_ID,PLAYER_FULLNAME,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,TS%,eFG%,PER,WS
0,76003,KAREEM ABDUL-JABBAR,1982,0,1610612747,LAL,36.0,79,79.0,2554.0,722,1228,0.588,0.0,2.0,0.0,278,371,0.749,167.0,425.0,592,200,61.0,170.0,200.0,220,1722,32.3,9.1,15.5,0.588,0.0,0.0,0.0,3.5,4.7,0.749,2.1,5.4,7.5,2.5,0.8,2.2,2.5,2.8,21.8,0.6188723728472442,0.5879478827361564,0.9060297572435395,0.024735133549416706
1,76011,ALVAN ADAMS,1982,0,1610612756,PHX,28.0,80,75.0,2447.0,477,981,0.486,1.0,3.0,0.333,180,217,0.829,161.0,387.0,548,376,114.0,74.0,242.0,287,1135,30.6,6.0,12.3,0.486,0.0,0.0,0.333,2.3,2.7,0.829,2.0,4.8,6.9,4.7,1.4,0.9,3.0,3.6,14.2,0.5271811831153389,0.48674821610601426,0.7425418880261545,0.01654091544112885
2,76016,MARK AGUIRRE,1982,0,1610612742,DAL,23.0,81,75.0,2784.0,767,1589,0.483,16.0,76.0,0.211,429,589,0.728,191.0,317.0,508,332,80.0,26.0,261.0,247,1979,34.4,9.5,19.6,0.483,0.2,0.9,0.211,5.3,7.3,0.728,2.4,3.9,6.3,4.1,1.0,0.3,3.2,3.0,24.4,0.53539736819323,0.48772813089993705,0.9188218390804598,0.030211687709426165
3,76017,DANNY AINGE,1982,0,1610612738,BOS,24.0,80,76.0,2048.0,357,720,0.496,5.0,29.0,0.172,72,97,0.742,83.0,131.0,214,251,109.0,6.0,98.0,259,791,25.6,4.5,9.0,0.496,0.1,0.4,0.172,0.9,1.2,0.742,1.0,1.6,2.7,3.1,1.4,0.1,1.2,3.2,9.9,0.5185661089841087,0.49930555555555556,0.5654296875,0.009331875550368312
4,76037,DWIGHT ANDERSON,1982,0,1610612743,DEN,22.0,5,0.0,33.0,7,14,0.5,0.0,0.0,0.0,7,10,0.7,0.0,2.0,2,3,1.0,0.0,5.0,7,21,6.6,1.4,2.8,0.5,0.0,0.0,0.0,1.4,2.0,0.7,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,4.2,0.5706521739130436,0.5,0.6363636363636364,3.7008909395610436e-06
5,76043,MITCHELL ANDERSON,1982,0,1610612755,PHL,22.0,13,0.0,48.0,8,22,0.364,0.0,1.0,0.0,1,3,0.333,4.0,8.0,12,1,1.0,0.0,5.0,6,17,3.7,0.6,1.7,0.364,0.0,0.1,0.0,0.1,0.2,0.333,0.3,0.6,0.9,0.1,0.1,0.0,0.4,0.5,1.3,0.36449399656946824,0.36363636363636365,0.5208333333333334,4.981406868340593e-06
6,76045,RICHARD ANDERSON,1982,0,1610612746,SDC,22.0,78,5.0,1274.0,174,431,0.404,7.0,19.0,0.368,48,69,0.696,111.0,161.0,272,120,57.0,26.0,93.0,170,403,16.3,2.2,5.5,0.404,0.1,0.2,0.368,0.6,0.9,0.696,1.4,2.1,3.5,1.5,0.7,0.3,1.2,2.2,5.2,0.4367522108548639,0.41183294663573083,0.5510204081632653,0.0029734178912281845
7,76054,NATE ARCHIBALD,1982,0,1610612738,BOS,34.0,66,18.0,1811.0,235,553,0.425,5.0,24.0,0.208,220,296,0.743,25.0,66.0,91,409,38.0,4.0,163.0,110,695,27.4,3.6,8.4,0.425,0.1,0.4,0.208,3.3,4.5,0.743,0.4,1.0,1.4,6.2,0.6,0.1,2.5,1.7,10.5,0.5086060535097476,0.4294755877034358,0.5698509110988405,0.007250463282048365
8,76082,JOHN BAGLEY,1982,0,1610612739,CLE,23.0,68,3.0,990.0,161,373,0.432,0.0,14.0,0.0,64,84,0.762,17.0,79.0,96,167,54.0,5.0,118.0,74,386,14.6,2.4,5.5,0.432,0.0,0.2,0.0,0.9,1.2,0.762,0.3,1.2,1.4,2.5,0.8,0.1,1.7,1.1,5.7,0.4707776368426188,0.4316353887399464,0.5363636363636364,0.003961394739354034
9,76085,JAMES BAILEY,1982,0,1610612751,NJN,26.0,6,0.0,50.0,9,18,0.5,0.0,0.0,0.0,2,2,1.0,3.0,3.0,6,2,1.0,1.0,6.0,15,20,8.3,1.5,3.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,0.5,0.5,1.0,0.3,0.2,0.2,1.0,2.5,3.3,0.5296610169491526,0.5,0.44,7.381991375147028e-06
10,76091,GREG BALLARD,1982,0,1610612764,WAS,28.0,78,78.0,2840.0,603,1274,0.473,13.0,37.0,0.351,182,233,0.781,123.0,385.0,508,262,135.0,25.0,157.0,176,1401,36.4,7.7,16.3,0.473,0.2,0.5,0.351,2.3,3.0,0.781,1.6,4.9,6.5,3.4,1.7,0.3,2.0,2.3,18.0,0.5088919884927208,0.478414442700157,0.7091549295774648,0.02480338490612629
