,PLAYER_ID,PLAYER_FULLNAME,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,TS%,eFG%,PER,WS
0,1630173,PRECIOUS ACHIUWA,2023,0,1610612761,TOR,24.0,25,0,437.0,78,170,0.459,13,47,0.277,24,42,0.571,50,86,136,44,16,12,29,40,193,17.5,3.1,6.8,0.459,0.5,1.9,0.277,1.0,1.7,0.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7,0.5119906621392191,0.4970588235294118,0.7871853546910755,0.0008607660388081881
1,1628389,BAM ADEBAYO,2023,0,1610612748,MIA,26.0,71,71,2416.0,530,1017,0.521,15,42,0.357,292,387,0.755,159,578,737,278,81,66,162,159,1367,34.0,7.5,14.3,0.521,0.2,0.6,0.357,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3,0.5756856007007615,0.5285152409046214,0.9188741721854304,0.021581824367523254
2,1630534,OCHAI AGBAJI,2023,0,1610612762,UTA,24.0,51,10,1003.0,106,249,0.426,47,142,0.331,15,20,0.75,35,91,126,47,27,29,34,66,274,19.7,2.1,4.9,0.426,0.9,2.8,0.331,0.3,0.4,0.75,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4,0.5314197051978278,0.5200803212851406,0.4117647058823529,0.00151330473834831
3,1630583,SANTI ALDAMA,2023,0,1610612763,MEM,23.0,61,35,1618.0,247,568,0.435,106,304,0.349,54,87,0.621,72,280,352,138,43,54,69,89,654,26.5,4.0,9.3,0.435,1.7,5.0,0.349,0.9,1.4,0.621,1.2,4.6,5.8,2.3,0.7,0.9,1.1,1.5,10.7,0.5393547535792044,0.528169014084507,0.6644004944375772,0.007177552633703803
4,1629638,NICKEIL ALEXANDER-WALKER,2023,0,1610612750,MIN,25.0,82,20,1921.0,236,538,0.439,131,335,0.391,52,65,0.8,35,132,167,204,64,42,76,143,655,23.4,2.9,6.6,0.439,1.6,4.1,0.391,0.6,0.8,0.8,0.4,1.6,2.0,2.5,0.8,0.5,0.9,1.7,8.0,0.5780091775503,0.5604089219330854,0.49453409682457056,0.007107322928848894
5,1628960,GRAYSON ALLEN,2023,0,1610612756,PHX,28.0,75,74,2513.0,340,682,0.499,205,445,0.461,129,147,0.878,48,247,295,227,69,45,95,157,1014,33.5,4.5,9.1,0.499,2.7,5.9,0.461,1.7,2.0,0.878,0.6,3.3,3.9,3.0,0.9,0.6,1.3,2.1,13.5,0.6790057320404992,0.6488269794721407,0.5734182252288101,0.014639568317548856
6,1628386,JARRETT ALLEN,2023,0,1610612739,CLE,26.0,77,77,2442.0,519,819,0.634,0,6,0.0,233,314,0.742,243,568,811,210,53,81,121,147,1271,31.7,6.7,10.6,0.634,0.0,0.1,0.0,3.0,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5,0.6639433323582264,0.6336996336996337,0.8890253890253891,0.01725346962515672
7,1641851,TIMMY ALLEN,2023,0,1610612763,MEM,24.0,5,0,125.0,6,23,0.261,0,7,0.0,1,2,0.5,4,13,17,5,4,0,2,18,13,25.1,1.2,4.6,0.261,0.0,1.4,0.0,0.2,0.4,0.5,0.8,2.6,3.4,1.0,0.8,0.0,0.4,3.6,2.6,0.27219430485762147,0.2608695652173913,0.264,1.1022331936366376e-05
8,1630631,JOSE ALVARADO,2023,0,1610612740,NOP,26.0,56,0,1028.0,142,345,0.412,78,207,0.377,35,52,0.673,25,103,128,117,59,15,40,89,397,18.4,2.5,6.2,0.412,1.4,3.7,0.377,0.6,0.9,0.673,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.6,7.1,0.5395781233010765,0.5246376811594203,0.585603112840467,0.0021949228010139815
9,203937,KYLE ANDERSON,2023,0,1610612750,MIN,30.0,79,10,1782.0,199,433,0.46,11,48,0.229,97,137,0.708,60,213,273,331,71,47,91,128,506,22.6,2.5,5.5,0.46,0.1,0.6,0.229,1.2,1.7,0.708,0.8,2.7,3.5,4.2,0.9,0.6,1.2,1.6,6.4,0.5128932857606228,0.4722863741339492,0.5718294051627385,0.005093257111125819
10,203507,GIANNIS ANTETOKOUNMPO,2023,0,1610612749,MIL,29.0,73,73,2567.0,837,1369,0.611,34,124,0.274,514,782,0.657,196,645,841,476,87,79,250,210,2222,35.2,11.5,18.8,0.611,0.5,1.7,0.274,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,0.6485394727625097,0.6238130021913806,1.2812621737436696,0.03128348384345131
11,203648,THANASIS ANTETOKOUNMPO,2023,0,1610612749,MIL,31.0,34,0,155.0,16,30,0.533,0,1,0.0,0,2,0.0,7,6,13,17,7,4,14,24,32,4.6,0.5,0.9,0.533,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.7,0.9,0.5181347150259068,0.5333333333333333,0.3096774193548387,2.720363035079641e-05
12,1630175,COLE ANTHONY,2023,0,1610612753,ORL,24.0,81,0,1817.0,332,763,0.435,93,275,0.338,180,218,0.826,64,247,311,236,64,37,126,175,937,22.4,4.1,9.4,0.435,1.1,3.4,0.338,2.2,2.7,0.826,0.8,3.0,3.8,2.9,0.8,0.5,1.6,2.2,11.6,0.5454524286313045,0.49606815203145477,0.7473858007705009,0.009502457033997956
13,1628384,OG ANUNOBY,2023,0,1610612761,TOR,26.0,27,27,900.0,157,321,0.489,61,163,0.374,33,46,0.717,24,82,106,72,28,13,43,62,408,33.3,5.8,11.9,0.489,2.3,6.0,0.374,1.2,1.7,0.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1,0.5978197163286836,0.5841121495327103,0.6033333333333334,0.0037475639303585053
14,1630166,DENI AVDIJA,2023,0,1610612764,WAS,23.0,75,75,2257.0,406,803,0.506,88,235,0.374,202,273,0.74,84,456,540,286,60,36,160,185,1102,30.1,5.4,10.7,0.506,1.2,3.1,0.374,2.7,3.6,0.74,1.1,6.1,7.2,3.8,0.8,0.5,2.1,2.5,14.7,0.5968888118554467,0.5603985056039851,0.7833407177669472,0.014854268217840416
15,1629028,DEANDRE AYTON,2023,0,1610612757,POR,25.0,55,55,1783.0,427,749,0.57,1,10,0.1,65,79,0.823,176,433,609,90,56,42,99,109,920,32.4,7.8,13.6,0.57,0.0,0.2,0.1,1.2,1.4,0.823,3.2,7.9,11.1,1.6,1.0,0.8,1.8,2.0,16.7,0.5869143615392467,0.5707610146862483,0.8524957936062816,0.01050007385884941
16,1628962,UDOKA AZUBUIKE,2023,0,1610612756,PHX,24.0,16,0,113.0,16,23,0.696,0,0,0.0,3,13,0.231,11,21,32,3,1,6,4,17,35,7.1,1.0,1.4,0.696,0.0,0.0,0.0,0.2,0.8,0.231,0.7,1.3,2.0,0.2,0.1,0.4,0.3,1.1,2.2,0.6093314763231198,0.6956521739130435,0.584070796460177,2.2721882775997052e-05
17,1630641,IBOU BADJI,2023,0,1610612757,POR,21.0,22,1,226.0,14,22,0.636,0,0,0.0,6,12,0.5,20,31,51,13,3,20,15,46,34,10.3,0.6,1.0,0.636,0.0,0.0,0.0,0.3,0.5,0.5,0.9,1.4,2.3,0.6,0.1,0.9,0.7,2.1,1.5,0.6231671554252199,0.6363636363636364,0.3672566371681416,4.9185890616327436e-05
18,1628963,MARVIN BAGLEY III,2023,0,1610612765,DET,25.0,26,10,478.0,107,181,0.591,1,6,0.167,50,61,0.82,46,72,118,27,5,14,29,40,265,18.4,4.1,7.0,0.591,0.0,0.2,0.167,1.9,2.3,0.82,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2,0.637509622786759,0.5939226519337016,0.797071129707113,0.0009671660746697105
